panel_label,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_pairs,mean_with_amm,mean_without_amm,mean_delta_with_minus_without,median_delta_with_minus_without,share_positive_delta,permutation_stat,permutation_p_value,ci_level,delta_ci_lo,delta_ci_hi
Dealer Liquidity Crisis,price_resilience,Price Resilience,fair_value_gap,recovery_steps_both_recovered,Recovery Steps,both_recovered,293,51.32764505119454,65.21160409556315,-13.8839590443686,-10.0,0.39590443686006827,-13.8839590443686,0.011998800119988001,0.95,-24.0929180887372,-3.369624573378853
Dealer Liquidity Crisis,price_resilience,Price Resilience,fair_value_gap,half_life_steps,Half-life,all,300,9.003333333333334,12.906666666666666,-3.9033333333333333,0.0,0.4666666666666667,-3.9033333333333333,0.12968703129687031,0.95,-9.560416666666667,0.18683333333333244
Funding Liquidity Shock,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.8966666666666666,0.92,-0.023333333333333334,0.0,0.07666666666666666,-0.023333333333333334,0.4156584341565843,0.95,-0.06666666666666667,0.02666666666666667
Funding Liquidity Shock,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,159.04666666666665,146.56333333333333,12.483333333333333,6.0,0.5366666666666666,12.483333333333333,0.3872612738726127,0.95,-14.75224999999999,39.333666666666666
Funding Liquidity Shock,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,246,106.95934959349593,106.30081300813008,0.6585365853658537,6.0,0.532520325203252,0.6585365853658537,0.946005399460054,0.95,-16.692581300813007,17.44817073170731
Funding Liquidity Shock,price_resilience,Price Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,127.46333333333334,95.57666666666667,31.886666666666667,5.0,0.5833333333333334,31.886666666666667,0.020597940205979402,0.95,6.397166666666678,59.13675
High-Vol Stress,price_resilience,Price Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.97,0.99,-0.02,0.0,0.006666666666666667,-0.02,0.1090890910908909,0.95,-0.040083333333333186,0.0
High-Vol Stress,price_resilience,Price Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,230.26,200.28,29.98,16.5,0.59,29.98,0.00029997000299970003,0.95,13.92958333333334,46.865083333333324
High-Vol Stress,price_resilience,Price Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,289,218.80276816608998,195.75778546712803,23.044982698961938,16.0,0.5847750865051903,23.044982698961938,0.0040995900409959,0.95,8.144982698961938,38.012024221453274
High-Vol Stress,price_resilience,Price Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,122.48666666666666,112.63666666666667,9.85,8.5,0.55,9.85,0.036996300369963,0.95,0.08991666666666681,18.81441666666666
MM Withdrawal,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.05333333333333334,0.08,-0.02666666666666667,0.0,0.05,-0.02666666666666667,0.25937406259374063,0.95,-0.06666666666666667,0.016666666666666666
MM Withdrawal,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,579.6766666666666,575.8666666666667,3.81,0.0,0.08,3.81,0.6284371562843716,0.95,-12.27,18.920999999999996
MM Withdrawal,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,1,512.0,422.0,90.0,90.0,1.0,90.0,1.0,0.95,90.0,90.0
MM Withdrawal,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,240.60333333333332,225.84666666666666,14.756666666666666,20.5,0.58,14.756666666666666,0.3213678632136786,0.95,-13.330999999999998,44.288666666666636
Flash Crash,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.023333333333333334,0.05333333333333334,-0.03,0.0,0.02,-0.03,0.07589241075892411,0.95,-0.06,0.0
Flash Crash,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,593.2266666666667,585.5933333333334,7.633333333333334,0.0,0.05,7.633333333333334,0.1436856314368563,0.95,-1.970499999999999,18.204833333333326
Flash Crash,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,1,437.0,465.0,-28.0,-28.0,0.0,-28.0,1.0,0.95,-28.0,-28.0
Flash Crash,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,161.56,174.14333333333335,-12.583333333333334,-2.0,0.44333333333333336,-12.583333333333334,0.4687531246875312,0.95,-46.79283333333331,20.9128333333333
Dealer Liquidity Crisis,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.06666666666666667,0.08,-0.013333333333333334,0.0,0.06333333333333334,-0.013333333333333334,0.6495350464953504,0.95,-0.05341666666666652,0.03
Dealer Liquidity Crisis,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,582.11,577.0266666666666,5.083333333333333,0.0,0.07666666666666666,5.083333333333333,0.47865213478652135,0.95,-8.750499999999999,19.418583333333306
Dealer Liquidity Crisis,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,1,280.0,586.0,-306.0,-306.0,0.0,-306.0,1.0,0.95,-306.0,-306.0
Dealer Liquidity Crisis,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,123.31,87.90666666666667,35.403333333333336,2.5,0.54,35.403333333333336,0.012098790120987902,0.95,9.307833333333349,63.07983333333326
Funding Liquidity Shock,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.04,0.06333333333333334,-0.023333333333333334,0.0,0.03666666666666667,-0.023333333333333334,0.26217378262173785,0.95,-0.06,0.01
Funding Liquidity Shock,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,590.3633333333333,582.8966666666666,7.466666666666667,0.0,0.06333333333333334,7.466666666666667,0.18018198180181982,0.95,-3.2907499999999987,18.213416666666667
Funding Liquidity Shock,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,1,513.0,92.0,421.0,421.0,1.0,421.0,1.0,0.95,421.0,421.0
Funding Liquidity Shock,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,65.75666666666666,52.85333333333333,12.903333333333334,2.5,0.5666666666666667,12.903333333333334,0.20987901209879012,0.95,-6.4296666666666615,32.28091666666666
High-Vol Stress,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.02666666666666667,0.03,-0.0033333333333333335,0.0,0.023333333333333334,-0.0033333333333333335,1.0,0.95,-0.02666666666666667,0.02
