panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,n_obs,recovered_share,km_median_steps,mean_observed_steps,mean_recovery_steps,mean_normalized_avg_impact,mean_normalized_auc_abs,mean_initial_dislocation_pct,mean_reference_dislocation_step
Dealer Liquidity Crisis,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.17666666666666667,nan,549.4333333333333,313.77358490566036,0.3040846602553289,0.13022717608325465,889.9881675000275,3.6566666666666667
Dealer Liquidity Crisis,without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.03,193.0,36.59,285.55555555555554,0.002473297048893547,0.15887022507597942,1081.4490080118392,5.21
Funding Liquidity Shock,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.04,nan,590.3633333333333,359.0833333333333,0.304398818119878,0.1140786440666053,1228.5787513859093,3.7466666666666666
Funding Liquidity Shock,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,1.0,30.0,30.173333333333332,30.173333333333332,-0.7592741199893602,0.22262959631683021,-85.02752638835992,3.6966666666666668
Funding Liquidity Shock,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.12666666666666668,nan,564.0733333333334,316.36842105263156,0.30951705052745965,0.1174401550428761,1001.063944663517,3.8566666666666665
Funding Liquidity Shock,with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.006666666666666667,428.0,32.406666666666666,470.5,-0.057207514502576,0.23712176395130474,1276.2096438479018,7.473333333333334
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.06333333333333334,nan,582.8966666666666,329.94736842105266,0.31006957027405735,0.10867208198245687,1138.050270564718,4.07
Funding Liquidity Shock,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.9966666666666667,30.0,32.53,30.632107023411372,-0.766224114023887,0.22588679934365538,-87.31163343229368,3.8566666666666665
Funding Liquidity Shock,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.23666666666666666,nan,519.1566666666666,258.40845070422534,0.32242247764758875,0.10756040647773918,973.6170435699522,4.036666666666667
Funding Liquidity Shock,without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.043333333333333335,426.0,44.21,376.61538461538464,-0.030453987648794336,0.2133194068454541,1178.083030433563,7.296666666666667
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.02666666666666667,nan,594.1333333333333,380.0,0.39054175051972473,0.20679748268895545,1420.2120152902298,3.986666666666667
High-Vol Stress,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.9966666666666667,213.0,217.92,216.64214046822744,-0.846272825824099,0.4878468893191489,-90.76276482935572,4.246666666666667
High-Vol Stress,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.09333333333333334,nan,581.3533333333334,400.2142857142857,0.4142478243909256,0.22910747003897705,1249.0063178695148,4.17
High-Vol Stress,with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.01,343.0,187.21666666666667,385.0,-0.02170573736005597,0.38693903062825813,1521.309400564693,7.38
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.03,nan,592.8233333333334,360.77777777777777,0.37691458135988365,0.19524660890496734,1381.829879952924,4.27
High-Vol Stress,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.9966666666666667,213.0,218.78666666666666,217.51170568561872,-0.8417819501993926,0.4884847636925363,-92.15735033132002,4.6466666666666665
High-Vol Stress,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.10333333333333333,nan,574.8633333333333,356.741935483871,0.3939866602034991,0.2072519533246438,1287.727665342289,4.52
High-Vol Stress,without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.01,542.0,177.32666666666665,337.3333333333333,-0.01956815826135821,0.34698912793953274,1492.3238583339175,7.406666666666666
