panel_label,series_key,amm_enabled,preset,seed,metric_name,metric_label,metric_note,analysis_target_mode,recovered,is_censored,recovery_steps,time_observed_steps,half_life_steps,legacy_recovery_steps,initial_dislocation_pct,reference_dislocation_pct,reference_dislocation_step,target_abs_deviation_pct,avg_change_pct,normalized_avg_impact,normalized_auc_abs,trough_change_pct,peak_abs_change_pct
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,193,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,37.0,26.0,37.0,618.8093824820307,618.8093824820307,4.0,50.0,121.1529181116785,-0.0675595243969288,0.25821723805565094,-92.25462443018388,1295.8935787022992
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,194,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,9.0,nan,1600.885144725239,1600.885144725239,3.0,50.0,609.5545991081004,0.3807609815835469,0.06563176019285859,-75.16641834137079,1600.885144725239
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,194,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,27.0,27.0,29.0,27.0,-93.20910933088516,-93.20910933088516,4.0,50.0,-78.79125766078194,-0.845317139348248,0.19246716611608114,-93.20910933088516,93.20910933088516
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,194,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,6.0,nan,2068.748797269503,2068.748797269503,3.0,50.0,593.7785149423376,0.28702301397156244,0.04641682079454245,-80.1602394139239,2068.748797269503
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,194,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,27.0,29.0,27.0,2068.748797269503,2068.748797269503,9.0,50.0,281.50212286755016,0.08690019619457258,0.12279262725206083,-93.20910933088516,2068.748797269503
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,195,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,44.0,nan,861.5507679588846,861.5507679588846,4.0,50.0,290.7685004868364,0.3374943315014404,0.1245266512431991,-80.43157874687631,869.930191029512
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,195,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,30.0,30.0,33.0,30.0,-82.20656045280668,-82.20656045280668,6.0,50.0,-66.66551038464043,-0.810951218703669,0.19836614725959487,-82.20656045280668,82.20656045280668
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,195,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,44.0,nan,580.9806734940553,580.9806734940553,4.0,50.0,216.5441014824376,0.37272169516436304,0.14198943079490728,-86.11477369771364,599.4612691225883
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,195,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,30.0,542.0,30.0,861.5507679588846,861.5507679588846,6.0,50.0,110.3613745047107,0.10646776706466812,0.20453535688510643,-86.11477369771364,869.930191029512
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,196,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,20.0,nan,1315.7727489097665,1315.7727489097665,3.0,50.0,534.1159505306413,0.4059332821516507,0.12474635916272703,-67.2170604598869,2390.5157490066363
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,196,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,28.0,28.0,28.0,28.0,-88.21018364183419,-88.21018364183419,5.0,50.0,-68.43608987689352,-0.7758298084353755,0.1986440811067825,-88.21018364183419,88.21018364183419
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,196,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,20.0,nan,1264.384134152386,1264.384134152386,0.0,50.0,437.27977356882946,0.3458440846871048,0.10423468855926771,-76.06051414461433,1829.8749693895559
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,196,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,28.0,28.0,28.0,1315.7727489097665,1315.7727489097665,9.0,50.0,225.0113836261055,-0.22141687146110192,0.15488317502921978,-88.21018364183419,2390.5157490066363
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,197,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,6.0,nan,1575.6738048574937,1575.6738048574937,5.0,50.0,559.9748191732077,0.3553875284636421,0.07088179730673103,-75.443780001084,1575.6738048574937
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,197,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,35.0,35.0,35.0,35.0,-90.63323650423007,-90.63323650423007,5.0,50.0,-74.15367759252736,-0.8181731167579614,0.17108118726008484,-90.63323650423007,90.63323650423007
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,197,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,72.0,72.0,6.0,72.0,1166.935138662162,1166.935138662162,3.0,50.0,409.64096196772016,0.3510400436114683,0.07763895858038919,-81.58432005682779,1166.935138662162
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,197,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,35.0,35.0,72.0,1575.6738048574937,1575.6738048574937,7.0,50.0,223.86502941207283,-0.02823444876385664,0.21097413208585594,-90.63323650423007,1575.6738048574937
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,198,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,18.0,nan,1519.9523000904542,1519.9523000904542,4.0,50.0,416.4705784604415,0.27400240023036043,0.07877418775445198,-78.26492325288056,1992.5337005553238
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,198,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,31.0,31.0,23.0,31.0,-98.03952943483472,-98.03952943483472,4.0,50.0,-68.30552499989491,-0.6967141253497803,0.24491812998344098,-98.03952943483472,98.03952943483472
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,198,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,5.0,nan,1943.1694439386579,1943.1694439386579,4.0,50.0,435.8115014259909,0.22427869210552934,0.058094151404687044,-82.02434112617996,1943.1694439386579
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,198,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,28.0,23.0,31.0,1943.1694439386579,1943.1694439386579,9.0,50.0,196.40036244432167,0.13253861850511003,0.17322892829671277,-98.03952943483472,1992.5337005553238
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,199,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,6.0,nan,1545.3424734808789,1545.3424734808789,5.0,50.0,514.1110469586506,0.3326842145227635,0.0951473388915303,-67.13342774616514,1545.3424734808789
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,199,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,21.0,21.0,21.0,21.0,-92.05555037348078,-92.05555037348078,5.0,50.0,-61.31228849925009,-0.6660357604783039,0.22077772405192117,-92.05555037348078,92.05555037348078
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,199,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,6.0,nan,1283.404963684306,1283.404963684306,5.0,50.0,356.9330683817912,0.27811414049477695,0.08342694105263479,-78.34764960888323,1283.404963684306
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,199,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,21.0,33.0,21.0,1545.3424734808789,1545.3424734808789,5.0,50.0,202.1268005222934,-0.252269020947308,0.2039390699980492,-92.05555037348078,1545.3424734808789
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,200,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,False,True,nan,600.0,19.0,nan,1093.1636595503364,1093.1636595503364,9.0,50.0,346.1338427229221,0.31663497016110226,0.08504800234410606,-82.0432278650885,1496.1253277619533
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,200,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,45.0,45.0,34.0,45.0,-86.32361174371933,-86.32361174371933,2.0,50.0,-68.29405507702748,-0.7911399175440128,0.24979106833829864,-89.28811194193261,89.28811194193261
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,200,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,False,True,nan,600.0,19.0,nan,1000.0503028618609,1000.0503028618609,9.0,50.0,358.14179018674423,0.35812377553593433,0.09424417864576838,-83.4028692928101,1371.5652259068895
Funding Liquidity Shock,with_amm,1,funding_liquidity_shock,200,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,False,True,nan,45.0,34.0,45.0,1093.1636595503364,1093.1636595503364,9.0,50.0,158.99417208688482,-0.029998907419575352,0.2266290143709686,-89.28811194193261,1496.1253277619533
