panel_label,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_pairs,mean_with_amm,mean_without_amm,mean_delta_with_minus_without,median_delta_with_minus_without,share_positive_delta,permutation_stat,permutation_p_value,ci_level,delta_ci_lo,delta_ci_hi
High-Vol Stress,price_resilience,Price Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,131.33666666666667,114.85333333333334,16.483333333333334,19.5,0.59,16.483333333333334,0.000999900009999,0.95,7.845583333333336,25.774249999999995
MM Withdrawal (Isolated),spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.79,0.9133333333333333,-0.12333333333333334,0.0,0.06333333333333334,-0.12333333333333334,9.999000099990002e-05,0.95,-0.18,-0.06666666666666667
MM Withdrawal (Isolated),spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,187.57666666666665,118.86666666666666,68.71,10.0,0.59,68.71,9.999000099990002e-05,0.95,36.968916666666665,100.66883333333332
MM Withdrawal (Isolated),spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,218,75.29357798165138,76.43119266055047,-1.1376146788990826,4.5,0.555045871559633,-1.1376146788990826,0.8944105589441056,0.95,-19.80607798165137,16.5025229357798
MM Withdrawal (Isolated),spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,266.9,181.36666666666667,85.53333333333333,56.0,0.62,85.53333333333333,9.999000099990002e-05,0.95,52.53616666666667,120.16299999999995
Flash Crash,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.8666666666666667,0.93,-0.06333333333333334,0.0,0.06333333333333334,-0.06333333333333334,0.015998400159984,0.95,-0.11333333333333333,-0.016666666666666666
Flash Crash,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,130.06666666666666,84.42666666666666,45.64,10.0,0.5666666666666667,45.64,0.0015998400159984002,0.95,19.489333333333335,74.3968333333333
Flash Crash,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_both_recovered,Recovery Steps,both_recovered,241,56.66390041493776,45.87551867219917,10.78838174273859,6.0,0.5477178423236515,10.78838174273859,0.04739526047395261,0.95,0.23973029045643318,21.681120331950204
Flash Crash,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,half_life_steps,Half-life,all,300,183.13333333333333,117.06666666666666,66.06666666666666,6.5,0.5766666666666667,66.06666666666666,0.00019998000199980003,0.95,35.16258333333334,97.42591666666665
Dealer Liquidity Crisis,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9533333333333334,0.9933333333333333,-0.04,0.0,0.006666666666666667,-0.04,0.003999600039996,0.95,-0.06666666666666667,-0.016666666666666666
