panel_label,series_key,amm_enabled,preset,seed,metric_name,metric_label,metric_note,analysis_target_mode,recovered,is_censored,recovery_steps,time_observed_steps,half_life_steps,legacy_recovery_steps,initial_dislocation_pct,reference_dislocation_pct,reference_dislocation_step,target_abs_deviation_pct,avg_change_pct,normalized_avg_impact,normalized_auc_abs,trough_change_pct,peak_abs_change_pct
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,330,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,51.0,51.0,5.0,505.0,602.5213253856542,602.5213253856542,1.0,120.50426507713082,127.32965222269863,0.21132804244098594,0.10834708083992706,-79.87829266961002,602.5213253856542
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,330,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,54.0,54.0,29.0,22.0,-87.84484335603987,-87.84484335603987,5.0,17.568968671207973,-71.38265717045458,-0.8125992880553823,0.1605180822879538,-87.84484335603987,87.84484335603987
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,330,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,51.0,51.0,5.0,nan,379.2761454388193,379.2761454388193,1.0,75.85522908776385,95.50403686755016,0.2518060732689972,0.14633348078553562,-86.2203183895019,379.2761454388193
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,330,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,54.0,54.0,29.0,505.0,602.5213253856542,602.5213253856542,5.0,120.50426507713082,38.10620654125914,-0.018628224049381553,0.13270694274322004,-87.84484335603987,602.5213253856542
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,331,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,28.0,28.0,12.0,nan,1053.0823902329428,1053.0823902329428,9.0,210.6164780465885,434.4761800009862,0.4125756769181941,0.07597212775030514,-83.28505838524423,1053.0823902329428
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,331,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,41.0,41.0,21.0,19.0,-92.42267585569817,-92.42267585569817,1.0,18.48453517113963,-74.65542867368522,-0.8077609524122262,0.20843770202305342,-92.42267585569817,92.42267585569817
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,331,execution_cost_resilience,Execution Cost Resilience,clob_cost_q=10,pre_shock_baseline,True,False,28.0,28.0,12.0,555.0,923.3487191017791,923.3487191017791,9.0,184.6697438203558,424.70949470591324,0.45996651743781564,0.07754323745523728,-87.10349192371416,923.3487191017791
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,331,composite_resilience,Composite Resilience,price+spread+depth+cost,joint_price_spread_depth_cost,True,False,41.0,41.0,21.0,555.0,1053.0823902329428,1053.0823902329428,9.0,210.6164780465885,196.47389982469804,0.09951490647489465,0.11509557605599813,-92.42267585569817,1053.0823902329428
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,332,spread_resilience,Quoted Spread Resilience,,pre_shock_baseline,True,False,40.0,40.0,13.0,nan,1208.0882866915294,1208.0882866915294,8.0,241.61765733830583,335.63960149159675,0.27782704723574414,0.06820661951598164,-75.0287710714395,1208.0882866915294
Dealer Liquidity Crisis,without_amm,0,dealer_liquidity_crisis,332,depth_resilience,Depth Resilience,,pre_shock_baseline,True,False,59.0,59.0,21.0,20.0,-92.61312335724351,-92.61312335724351,1.0,18.522624671448696,-65.21496129232617,-0.7041654457626662,0.15449318076139576,-92.61312335724351,92.61312335724351
