panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,n_obs,recovered_share,km_median_steps,mean_observed_steps,mean_recovery_steps,mean_normalized_avg_impact,mean_normalized_auc_abs,mean_initial_dislocation_pct,mean_reference_dislocation_step
Dealer Liquidity Crisis,with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.9266666666666666,75.0,89.44,93.28776978417267,0.006795590759228236,0.13931321212239597,1126.3734505025675,5.8933333333333335
Dealer Liquidity Crisis,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.9933333333333333,38.0,45.17,41.446308724832214,0.30864576440863684,0.08725286216114268,1257.8851963995985,3.38
Dealer Liquidity Crisis,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.9933333333333333,65.0,76.32666666666667,72.81208053691275,-0.7858391963348764,0.18358393523108152,-88.52471415844117,2.68
Dealer Liquidity Crisis,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.9966666666666667,39.0,45.263333333333335,43.408026755852845,0.323532002463889,0.08897737915742028,1032.1691944838683,3.72
Dealer Liquidity Crisis,without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.98,68.0,81.39333333333333,82.0204081632653,0.021895433373450846,0.12048105261447553,1287.906089527247,4.8533333333333335
Funding Liquidity Shock,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.9633333333333334,42.0,72.27,52.18339100346021,0.25416944143928716,0.12517746168880595,968.7871704491988,4.326666666666667
Funding Liquidity Shock,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.99,58.0,74.95666666666666,69.65319865319866,-0.7952697106868505,0.1832023598377482,-81.43320741093557,4.16
Funding Liquidity Shock,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.98,41.0,61.64333333333333,50.656462585034014,0.2938859302770113,0.11979900270524063,857.8193950545788,4.31
Funding Liquidity Shock,with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.8233333333333334,103.0,127.15333333333334,146.251012145749,-0.06460472829916857,0.24458071428598877,1061.443901382204,7.733333333333333
Funding Liquidity Shock,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.9933333333333333,37.0,45.483333333333334,41.761744966442954,0.32790189208273046,0.08784118973949943,1242.9420129237699,4.033333333333333
Funding Liquidity Shock,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,1.0,60.0,76.97666666666667,76.97666666666667,-0.7824587615933223,0.18306570443617445,-86.0094881262112,4.34
Funding Liquidity Shock,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.9933333333333333,37.0,44.81333333333333,41.08724832214765,0.34162984725305423,0.08943350462696122,1068.9256775086553,3.8933333333333335
Funding Liquidity Shock,without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.9066666666666666,91.0,119.63,127.73897058823529,-0.02080746056715685,0.20991338715444444,1308.3212863099845,7.36
High-Vol Stress,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.9666666666666667,205.0,197.24666666666667,183.35862068965517,0.28748808156119504,0.2017480650489939,1214.3076098496447,4.53
High-Vol Stress,with_amm,With AMM,1,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.9666666666666667,237.0,263.5466666666667,251.94482758620688,-0.8689024856195044,0.4176939059298556,-86.10170468439327,4.83
High-Vol Stress,with_amm,With AMM,1,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.9933333333333333,204.0,195.35,192.63422818791946,0.3458174672661734,0.2105638553954739,1004.8201418137122,4.553333333333334
High-Vol Stress,with_amm,With AMM,1,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.84,263.0,273.26666666666665,287.8333333333333,-0.053807683586860916,0.41912942798575037,1304.1997572361684,7.983333333333333
High-Vol Stress,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,300,0.99,206.0,214.13,210.23232323232324,0.39397126799391236,0.191671998563408,1545.8363300649398,4.523333333333333
High-Vol Stress,without_amm,Without AMM,0,depth_resilience,Depth Resilience,pre_shock_baseline,300,0.9533333333333334,242.0,278.16333333333336,262.40909090909093,-0.8566597014505307,0.42303180912123967,-90.79413648291414,4.933333333333334
High-Vol Stress,without_amm,Without AMM,0,execution_cost_resilience,Execution Cost Resilience,pre_shock_baseline,300,0.99,206.0,211.63,207.7070707070707,0.42282556200497123,0.21100566792281475,1399.1753871783626,4.79
High-Vol Stress,without_amm,Without AMM,0,composite_resilience,Composite Resilience,joint_price_spread_depth_cost,300,0.9,260.0,277.8833333333333,285.63703703703703,0.0015161533196011807,0.377838525068294,1660.9304461733775,7.61
