panel_label,series_key,series_label,amm_enabled,metric_name,metric_label,target_mode,endpoint_name,endpoint_label,sample_filter,n_used,mean,std,median,ci_level,ci_lo,ci_hi
MM Withdrawal (Isolated),with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.20623364439802352,0.11300965367988335,0.17228526346002493,0.95,0.19414588660790538,0.21928976836286754
MM Withdrawal (Isolated),with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.22692670654665453,0.1273204254296165,0.21828745236022767,0.95,0.2128837017820263,0.24107058624948718
MM Withdrawal (Isolated),with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,237,77.94514767932489,96.72077333966583,47.0,0.95,66.45864978902955,91.33459915611813
MM Withdrawal (Isolated),without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9133333333333333,0.2818160567729817,1.0,0.95,0.88,0.9433333333333334
MM Withdrawal (Isolated),without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,118.86666666666666,179.00683519270405,39.0,0.95,100.18425,140.83383333333333
MM Withdrawal (Isolated),without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.15622919785134542,0.07524703118837162,0.13812806511277928,0.95,0.14778797660780144,0.1649605958891204
MM Withdrawal (Isolated),without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.25534280783218954,0.10563807519094333,0.24315800634703194,0.95,0.2439941864342946,0.2671998995485988
MM Withdrawal (Isolated),without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,274,73.21167883211679,104.67374260328037,35.0,0.95,61.17828467153285,85.72983576642334
Flash Crash,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.8666666666666667,0.34050261230349943,1.0,0.95,0.8266666666666667,0.9034166666666662
Flash Crash,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,130.06666666666666,195.41360532481448,45.0,0.95,108.75475,154.27791666666667
Flash Crash,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.1669840671402098,0.10506185635440136,0.1410050619660476,0.95,0.1555759794871813,0.17935541620579762
Flash Crash,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.21773203315898798,0.12358851448088432,0.20546110682258192,0.95,0.20444400913998068,0.23302164193261696
Flash Crash,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,260,57.76923076923077,68.7804451043291,41.0,0.95,49.83423076923077,66.72048076923076
Flash Crash,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.93,0.2555733275451653,1.0,0.95,0.9,0.9566666666666667
Flash Crash,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,84.42666666666666,149.3339659964302,37.0,0.95,69.061,101.99749999999999
Flash Crash,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.12783360378615846,0.07848969582446474,0.11000596627783898,0.95,0.11952988814149226,0.13704745876048766
Flash Crash,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.2741277568151347,0.12557099950898082,0.2501419550392193,0.95,0.2603681740965441,0.2879801360151298
Flash Crash,without_amm,Without AMM,0,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovery_steps_recovered_only,Recovery Steps,recovered_only,279,45.62007168458781,48.930861794639036,36.0,0.95,40.27840501792115,51.57482078853046
Dealer Liquidity Crisis,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,recovered_indicator,Recovered Indicator,all,300,0.9533333333333334,0.21127631471468894,1.0,0.95,0.9266666666666666,0.9766666666666667
Dealer Liquidity Crisis,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,time_observed_steps,Observed Time,all,300,76.92,125.25094649806927,42.0,0.95,63.59766666666667,91.91133333333332
Dealer Liquidity Crisis,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_auc_abs,Normalized AUC,all,300,0.13075626438003232,0.12991328805115415,0.1050353158416815,0.95,0.11715714398609235,0.14640532691399427
Dealer Liquidity Crisis,with_amm,With AMM,1,spread_resilience,Quoted Spread Resilience,pre_shock_baseline,normalized_avg_impact,Normalized Average Impact,all,300,0.23718378458882625,0.18258748424799548,0.21019078575138428,0.95,0.21890888365468666,0.2599237195668929
